,token,frequency,z-score,freq_ratio
288,act,3667,0.6196447618997201,0.0011533553771931287
1030,hydroxycloroquine,45,0.6151950202177502,1.4153529308342185e-05
488,matter,2620,0.612893739980444,0.0008240499286190339
278,legal,8969,0.6086769599926531,0.0028209556525893567
252,besides,175,0.6031202275416528,5.504150286577516e-05
398,cia,1581,0.6031202275416528,0.0004972606630330887
312,phone,1317,0.5923756229035831,0.00041422662442414793
746,mr,569,0.5893870439883796,0.00017896351503214896
393,traitor,1186,0.5863989674206984,0.00037302412799319624
1,win,7983,0.5830257962865784,0.0025108360992999036
509,number,3066,0.5801411689038046,0.0009643271302083808
478,name,2059,0.5734659596082333,0.0006476025965750347
430,coverage,853,0.572539719764228,0.00026828801111146406
91,significant,663,0.572539719764228,0.00020852866514290818
875,other,1234,0.572539719764228,0.00038812122592209457
698,perpetrate,1157,0.572539719764228,0.0003639029646611535
887,contest,797,0.572539719764228,0.00025067473019441605
979,york,976,0.572539719764228,0.00030697432455426606
846,speaker,552,0.572539719764228,0.00017361662618233079
545,impeachment,1087,0.572539719764228,0.00034188636351484346
784,stupid,1150,0.572539719764228,0.0003617013045465225
759,military,2438,0.5699536583761838,0.0007668067656386277
720,liberal,1852,0.5625362130993681,0.0005824963617566606
450,minute,1390,0.558610642305854,0.00043718679419101417
280,whole,1947,0.558610642305854,0.0006123760347409385
28,director,684,0.5502650685255429,0.00021513364548680122
736,save,1529,0.5502650685255429,0.00048090547361011554
826,focus,1544,0.5502650685255429,0.0004856233167128963
680,power,1946,0.5502650685255429,0.0006120615118674198
142,many,10430,0.5480730777222155,0.0032804735708001995
211,fill,1605,0.5458159478717909,0.000504809211997538
299,damn,1648,0.5458159478717909,0.0005183336955588427
516,email,1275,0.5436318061573614,0.0004010166637363619
832,provide,2136,0.5436318061573614,0.0006718208578359757
220,least,1891,0.5436318061573614,0.0005947627538238904
333,elector,1254,0.5436318061573614,0.00039441168339246886
376,overturn,1730,0.5436318061573614,0.0005441245711873773
881,blow,1183,0.5436318061573614,0.0003720805593726401
508,hide,2173,0.54235351183835,0.0006834582041561682
316,jail,1352,0.5411598185061696,0.00042523492499730296
703,globalist,740,0.5411598185061696,0.00023274692640384926
87,attack,1374,0.5411598185061696,0.0004321544282147147
533,treason,1725,0.5411598185061696,0.0005425519568197837
496,thread,908,0.5362764684450352,0.00028558676915499344
244,high,1847,0.5362764684450352,0.000580923747389067
608,completely,988,0.531142573183933,0.0003107485990364906
755,source,1644,0.531142573183933,0.0005170756040647678
446,presidential,5288,0.528284655367419,0.001663196955166966
174,enough,4461,0.528284655367419,0.0014030865387669885
891,along,1322,0.5257310219260768,0.0004157992387917415
673,interference,1126,0.5257310219260768,0.0003541527555820733
419,interview,1436,0.5257310219260768,0.00045165484637287506
760,interfere,642,0.5257310219260768,0.00020192368479901517
560,release,3159,0.5234561709824535,0.0009935777574456215
1026,articia,604,0.5200100510248526,0.00018997181560530398
723,control,2003,0.5200100510248526,0.0006299893156579866
585,notice,1020,0.5200100510248526,0.0003208133309890895
620,going,1596,0.5200100510248526,0.0005019785061358695
6,watcher,1037,0.5124697729621197,0.0003261602198389077
1019,wapo,790,0.5124697729621197,0.000248473070079785
1015,eject,492,0.5124697729621197,0.00015474525377120787
734,member,1124,0.5124697729621197,0.0003535237098350359
154,times,817,0.5124697729621197,0.00025696518766479034
843,swamp,1445,0.5124697729621197,0.0004544855522345435
402,example,1146,0.5124697729621197,0.00036044321305244765
806,beyond,1075,0.5124697729621197,0.00033811208903261885
855,urge,487,0.5124697729621197,0.00015317263940361431
171,poll,4012,0.5124552082655937,0.0012618657685570854
544,sense,1294,0.5117562532354331,0.0004069925983332175
156,suspect,742,0.507482388989502,0.0002333759721508867
756,computer,1194,0.507482388989502,0.000375540310981346
432,electronic,1545,0.507482388989502,0.000485937839586415
852,figure,818,0.507482388989502,0.00025727971053830903
917,retain,111,0.507482388989502,3.4912038960577386e-05
350,machine,7534,0.5048736378421566,0.0023696153290900003
676,consider,1167,0.5005767636197965,0.00036704819339634064
771,server,1209,0.5005767636197965,0.0003802581540841267
651,line,1448,0.5005767636197965,0.0004554291208550996
706,drive,603,0.5005767636197965,0.00018965729273178527
210,sham,223,0.5005767636197965,7.013860079467349e-05
262,pull,1495,0.5005767636197965,0.00047021169591047925
965,jones,586,0.5005767636197965,0.00018431040388196713
617,enemy,1046,0.5005767636197965,0.0003289909257005761
606,waste,413,0.5005767636197965,0.00012989794676322939
605,ready,945,0.5005767636197965,0.00029722411547518585
727,strongly,208,0.5005767636197965,6.542075769189277e-05
348,realize,994,0.5005767636197965,0.0003126357362776029
952,andrew,102,0.5005767636197965,3.208133309890895e-05
